char,codepoint,name,block
𒊲,U+122B2,CUNEIFORM SIGN SHA3 TIMES NE,Cuneiform
𒊳,U+122B3,CUNEIFORM SIGN SHA3 TIMES SHU2,Cuneiform
𒊴,U+122B4,CUNEIFORM SIGN SHA3 TIMES TUR,Cuneiform
𒊵,U+122B5,CUNEIFORM SIGN SHA3 TIMES U,Cuneiform
𒊶,U+122B6,CUNEIFORM SIGN SHA3 TIMES U PLUS A,Cuneiform
𒊷,U+122B7,CUNEIFORM SIGN SHA6,Cuneiform
𒊸,U+122B8,CUNEIFORM SIGN SHAB6,Cuneiform
𒊹,U+122B9,CUNEIFORM SIGN SHAR2,Cuneiform
𒊺,U+122BA,CUNEIFORM SIGN SHE,Cuneiform
𒊻,U+122BB,CUNEIFORM SIGN SHE HU,Cuneiform
𒊼,U+122BC,CUNEIFORM SIGN SHE OVER SHE GAD OVER GAD GAR OVER GAR,Cuneiform
𒊽,U+122BD,CUNEIFORM SIGN SHE OVER SHE TAB OVER TAB GAR OVER GAR,Cuneiform
𒊾,U+122BE,CUNEIFORM SIGN SHEG9,Cuneiform
𒊿,U+122BF,CUNEIFORM SIGN SHEN,Cuneiform
𒋀,U+122C0,CUNEIFORM SIGN SHESH,Cuneiform
𒋁,U+122C1,CUNEIFORM SIGN SHESH2,Cuneiform
𒋂,U+122C2,CUNEIFORM SIGN SHESHLAM,Cuneiform
𒋃,U+122C3,CUNEIFORM SIGN SHID,Cuneiform
𒋄,U+122C4,CUNEIFORM SIGN SHID TIMES A,Cuneiform
𒋅,U+122C5,CUNEIFORM SIGN SHID TIMES IM,Cuneiform
𒋆,U+122C6,CUNEIFORM SIGN SHIM,Cuneiform
𒋇,U+122C7,CUNEIFORM SIGN SHIM TIMES A,Cuneiform
𒋈,U+122C8,CUNEIFORM SIGN SHIM TIMES BAL,Cuneiform
𒋉,U+122C9,CUNEIFORM SIGN SHIM TIMES BULUG,Cuneiform
𒋊,U+122CA,CUNEIFORM SIGN SHIM TIMES DIN,Cuneiform
𒋋,U+122CB,CUNEIFORM SIGN SHIM TIMES GAR,Cuneiform
𒋌,U+122CC,CUNEIFORM SIGN SHIM TIMES IGI,Cuneiform
𒋍,U+122CD,CUNEIFORM SIGN SHIM TIMES IGI GUNU,Cuneiform
𒋎,U+122CE,CUNEIFORM SIGN SHIM TIMES KUSHU2,Cuneiform
𒋏,U+122CF,CUNEIFORM SIGN SHIM TIMES LUL,Cuneiform
𒋐,U+122D0,CUNEIFORM SIGN SHIM TIMES MUG,Cuneiform
𒋑,U+122D1,CUNEIFORM SIGN SHIM TIMES SAL,Cuneiform
𒋒,U+122D2,CUNEIFORM SIGN SHINIG,Cuneiform
𒋓,U+122D3,CUNEIFORM SIGN SHIR,Cuneiform
𒋔,U+122D4,CUNEIFORM SIGN SHIR TENU,Cuneiform
𒋕,U+122D5,CUNEIFORM SIGN SHIR OVER SHIR BUR OVER BUR,Cuneiform
𒋖,U+122D6,CUNEIFORM SIGN SHITA,Cuneiform
𒋗,U+122D7,CUNEIFORM SIGN SHU,Cuneiform
𒋘,U+122D8,CUNEIFORM SIGN SHU OVER INVERTED SHU,Cuneiform
𒋙,U+122D9,CUNEIFORM SIGN SHU2,Cuneiform
𒋚,U+122DA,CUNEIFORM SIGN SHUBUR,Cuneiform
𒋛,U+122DB,CUNEIFORM SIGN SI,Cuneiform
𒋜,U+122DC,CUNEIFORM SIGN SI GUNU,Cuneiform
𒋝,U+122DD,CUNEIFORM SIGN SIG,Cuneiform
𒋞,U+122DE,CUNEIFORM SIGN SIG4,Cuneiform
𒋟,U+122DF,CUNEIFORM SIGN SIG4 OVER SIG4 SHU2,Cuneiform
𒋠,U+122E0,CUNEIFORM SIGN SIK2,Cuneiform
𒋡,U+122E1,CUNEIFORM SIGN SILA3,Cuneiform
𒋢,U+122E2,CUNEIFORM SIGN SU,Cuneiform
𒋣,U+122E3,CUNEIFORM SIGN SU OVER SU,Cuneiform
𒋤,U+122E4,CUNEIFORM SIGN SUD,Cuneiform
𒋥,U+122E5,CUNEIFORM SIGN SUD2,Cuneiform
𒋦,U+122E6,CUNEIFORM SIGN SUHUR,Cuneiform
𒋧,U+122E7,CUNEIFORM SIGN SUM,Cuneiform
𒋨,U+122E8,CUNEIFORM SIGN SUMASH,Cuneiform
𒋩,U+122E9,CUNEIFORM SIGN SUR,Cuneiform
𒋪,U+122EA,CUNEIFORM SIGN SUR9,Cuneiform
𒋫,U+122EB,CUNEIFORM SIGN TA,Cuneiform
𒋬,U+122EC,CUNEIFORM SIGN TA ASTERISK,Cuneiform
𒋭,U+122ED,CUNEIFORM SIGN TA TIMES HI,Cuneiform
𒋮,U+122EE,CUNEIFORM SIGN TA TIMES MI,Cuneiform
𒋯,U+122EF,CUNEIFORM SIGN TA GUNU,Cuneiform
𒋰,U+122F0,CUNEIFORM SIGN TAB,Cuneiform
𒋱,U+122F1,CUNEIFORM SIGN TAB OVER TAB NI OVER NI DISH OVER DISH,Cuneiform
𒋲,U+122F2,CUNEIFORM SIGN TAB SQUARED,Cuneiform
𒋳,U+122F3,CUNEIFORM SIGN TAG,Cuneiform
𒋴,U+122F4,CUNEIFORM SIGN TAG TIMES BI,Cuneiform
𒋵,U+122F5,CUNEIFORM SIGN TAG TIMES GUD,Cuneiform
𒋶,U+122F6,CUNEIFORM SIGN TAG TIMES SHE,Cuneiform
𒋷,U+122F7,CUNEIFORM SIGN TAG TIMES SHU,Cuneiform
𒋸,U+122F8,CUNEIFORM SIGN TAG TIMES TUG2,Cuneiform
𒋹,U+122F9,CUNEIFORM SIGN TAG TIMES UD,Cuneiform
𒋺,U+122FA,CUNEIFORM SIGN TAK4,Cuneiform
𒋻,U+122FB,CUNEIFORM SIGN TAR,Cuneiform
𒋼,U+122FC,CUNEIFORM SIGN TE,Cuneiform
𒋽,U+122FD,CUNEIFORM SIGN TE GUNU,Cuneiform
𒋾,U+122FE,CUNEIFORM SIGN TI,Cuneiform
𒋿,U+122FF,CUNEIFORM SIGN TI TENU,Cuneiform
𒌀,U+12300,CUNEIFORM SIGN TIL,Cuneiform
𒌁,U+12301,CUNEIFORM SIGN TIR,Cuneiform
𒌂,U+12302,CUNEIFORM SIGN TIR TIMES TAK4,Cuneiform
𒌃,U+12303,CUNEIFORM SIGN TIR OVER TIR,Cuneiform
𒌄,U+12304,CUNEIFORM SIGN TIR OVER TIR GAD OVER GAD GAR OVER GAR,Cuneiform
𒌅,U+12305,CUNEIFORM SIGN TU,Cuneiform
𒌆,U+12306,CUNEIFORM SIGN TUG2,Cuneiform
𒌇,U+12307,CUNEIFORM SIGN TUK,Cuneiform
𒌈,U+12308,CUNEIFORM SIGN TUM,Cuneiform
𒌉,U+12309,CUNEIFORM SIGN TUR,Cuneiform
𒌊,U+1230A,CUNEIFORM SIGN TUR OVER TUR ZA OVER ZA,Cuneiform
𒌋,U+1230B,CUNEIFORM SIGN U,Cuneiform
𒌌,U+1230C,CUNEIFORM SIGN U GUD,Cuneiform
𒌍,U+1230D,CUNEIFORM SIGN U U U,Cuneiform
𒌎,U+1230E,CUNEIFORM SIGN U OVER U PA OVER PA GAR OVER GAR,Cuneiform
𒌏,U+1230F,CUNEIFORM SIGN U OVER U SUR OVER SUR,Cuneiform
𒌐,U+12310,CUNEIFORM SIGN U OVER U U REVERSED OVER U REVERSED,Cuneiform
𒌑,U+12311,CUNEIFORM SIGN U2,Cuneiform
𒌒,U+12312,CUNEIFORM SIGN UB,Cuneiform
𒌓,U+12313,CUNEIFORM SIGN UD,Cuneiform
𒌔,U+12314,CUNEIFORM SIGN UD KUSHU2,Cuneiform
𒌕,U+12315,CUNEIFORM SIGN UD TIMES BAD,Cuneiform
𒌖,U+12316,CUNEIFORM SIGN UD TIMES MI,Cuneiform
𒌗,U+12317,CUNEIFORM SIGN UD TIMES U PLUS U PLUS U,Cuneiform
𒌘,U+12318,CUNEIFORM SIGN UD TIMES U PLUS U PLUS U GUNU,Cuneiform
𒌙,U+12319,CUNEIFORM SIGN UD GUNU,Cuneiform
𒌚,U+1231A,CUNEIFORM SIGN UD SHESHIG,Cuneiform
𒌛,U+1231B,CUNEIFORM SIGN UD SHESHIG TIMES BAD,Cuneiform
𒌜,U+1231C,CUNEIFORM SIGN UDUG,Cuneiform
𒌝,U+1231D,CUNEIFORM SIGN UM,Cuneiform
𒌞,U+1231E,CUNEIFORM SIGN UM TIMES LAGAB,Cuneiform
𒌟,U+1231F,CUNEIFORM SIGN UM TIMES ME PLUS DA,Cuneiform
𒌠,U+12320,CUNEIFORM SIGN UM TIMES SHA3,Cuneiform
𒌡,U+12321,CUNEIFORM SIGN UM TIMES U,Cuneiform
𒌢,U+12322,CUNEIFORM SIGN UMBIN,Cuneiform
𒌣,U+12323,CUNEIFORM SIGN UMUM,Cuneiform
𒌤,U+12324,CUNEIFORM SIGN UMUM TIMES KASKAL,Cuneiform
𒌥,U+12325,CUNEIFORM SIGN UMUM TIMES PA,Cuneiform
𒌦,U+12326,CUNEIFORM SIGN UN,Cuneiform
𒌧,U+12327,CUNEIFORM SIGN UN GUNU,Cuneiform
𒌨,U+12328,CUNEIFORM SIGN UR,Cuneiform
𒌩,U+12329,CUNEIFORM SIGN UR CROSSING UR,Cuneiform
𒌪,U+1232A,CUNEIFORM SIGN UR SHESHIG,Cuneiform
𒌫,U+1232B,CUNEIFORM SIGN UR2,Cuneiform
𒌬,U+1232C,CUNEIFORM SIGN UR2 TIMES A PLUS HA,Cuneiform
𒌭,U+1232D,CUNEIFORM SIGN UR2 TIMES A PLUS NA,Cuneiform
𒌮,U+1232E,CUNEIFORM SIGN UR2 TIMES AL,Cuneiform
𒌯,U+1232F,CUNEIFORM SIGN UR2 TIMES HA,Cuneiform
𒌰,U+12330,CUNEIFORM SIGN UR2 TIMES NUN,Cuneiform
𒌱,U+12331,CUNEIFORM SIGN UR2 TIMES U2,Cuneiform
𒌲,U+12332,CUNEIFORM SIGN UR2 TIMES U2 PLUS ASH,Cuneiform
𒌳,U+12333,CUNEIFORM SIGN UR2 TIMES U2 PLUS BI,Cuneiform
𒌴,U+12334,CUNEIFORM SIGN UR4,Cuneiform
𒌵,U+12335,CUNEIFORM SIGN URI,Cuneiform
𒌶,U+12336,CUNEIFORM SIGN URI3,Cuneiform
𒌷,U+12337,CUNEIFORM SIGN URU,Cuneiform
𒌸,U+12338,CUNEIFORM SIGN URU TIMES A,Cuneiform
𒌹,U+12339,CUNEIFORM SIGN URU TIMES ASHGAB,Cuneiform
𒌺,U+1233A,CUNEIFORM SIGN URU TIMES BAR,Cuneiform
𒌻,U+1233B,CUNEIFORM SIGN URU TIMES DUN,Cuneiform
𒌼,U+1233C,CUNEIFORM SIGN URU TIMES GA,Cuneiform
𒌽,U+1233D,CUNEIFORM SIGN URU TIMES GAL,Cuneiform
𒌾,U+1233E,CUNEIFORM SIGN URU TIMES GAN2 TENU,Cuneiform
𒌿,U+1233F,CUNEIFORM SIGN URU TIMES GAR,Cuneiform
𒍀,U+12340,CUNEIFORM SIGN URU TIMES GU,Cuneiform
𒍁,U+12341,CUNEIFORM SIGN URU TIMES HA,Cuneiform
𒍂,U+12342,CUNEIFORM SIGN URU TIMES IGI,Cuneiform
𒍃,U+12343,CUNEIFORM SIGN URU TIMES IM,Cuneiform
𒍄,U+12344,CUNEIFORM SIGN URU TIMES ISH,Cuneiform
𒍅,U+12345,CUNEIFORM SIGN URU TIMES KI,Cuneiform
𒍆,U+12346,CUNEIFORM SIGN URU TIMES LUM,Cuneiform
𒍇,U+12347,CUNEIFORM SIGN URU TIMES MIN,Cuneiform
𒍈,U+12348,CUNEIFORM SIGN URU TIMES PA,Cuneiform
𒍉,U+12349,CUNEIFORM SIGN URU TIMES SHE,Cuneiform
𒍊,U+1234A,CUNEIFORM SIGN URU TIMES SIG4,Cuneiform
𒍋,U+1234B,CUNEIFORM SIGN URU TIMES TU,Cuneiform
𒍌,U+1234C,CUNEIFORM SIGN URU TIMES U PLUS GUD,Cuneiform
𒍍,U+1234D,CUNEIFORM SIGN URU TIMES UD,Cuneiform
𒍎,U+1234E,CUNEIFORM SIGN URU TIMES URUDA,Cuneiform
𒍏,U+1234F,CUNEIFORM SIGN URUDA,Cuneiform
𒍐,U+12350,CUNEIFORM SIGN URUDA TIMES U,Cuneiform
𒍑,U+12351,CUNEIFORM SIGN USH,Cuneiform
𒍒,U+12352,CUNEIFORM SIGN USH TIMES A,Cuneiform
𒍓,U+12353,CUNEIFORM SIGN USH TIMES KU,Cuneiform
𒍔,U+12354,CUNEIFORM SIGN USH TIMES KUR,Cuneiform
𒍕,U+12355,CUNEIFORM SIGN USH TIMES TAK4,Cuneiform
𒍖,U+12356,CUNEIFORM SIGN USHX,Cuneiform
𒍗,U+12357,CUNEIFORM SIGN USH2,Cuneiform
𒍘,U+12358,CUNEIFORM SIGN USHUMX,Cuneiform
𒍙,U+12359,CUNEIFORM SIGN UTUKI,Cuneiform
𒍚,U+1235A,CUNEIFORM SIGN UZ3,Cuneiform
𒍛,U+1235B,CUNEIFORM SIGN UZ3 TIMES KASKAL,Cuneiform
𒍜,U+1235C,CUNEIFORM SIGN UZU,Cuneiform
𒍝,U+1235D,CUNEIFORM SIGN ZA,Cuneiform
𒍞,U+1235E,CUNEIFORM SIGN ZA TENU,Cuneiform
𒍟,U+1235F,CUNEIFORM SIGN ZA SQUARED TIMES KUR,Cuneiform
𒍠,U+12360,CUNEIFORM SIGN ZAG,Cuneiform
𒍡,U+12361,CUNEIFORM SIGN ZAMX,Cuneiform
𒍢,U+12362,CUNEIFORM SIGN ZE2,Cuneiform
𒍣,U+12363,CUNEIFORM SIGN ZI,Cuneiform
𒍤,U+12364,CUNEIFORM SIGN ZI OVER ZI,Cuneiform
𒍥,U+12365,CUNEIFORM SIGN ZI3,Cuneiform
𒍦,U+12366,CUNEIFORM SIGN ZIB,Cuneiform
𒍧,U+12367,CUNEIFORM SIGN ZIB KABA TENU,Cuneiform
𒍨,U+12368,CUNEIFORM SIGN ZIG,Cuneiform
𒍩,U+12369,CUNEIFORM SIGN ZIZ2,Cuneiform
𒍪,U+1236A,CUNEIFORM SIGN ZU,Cuneiform
𒍫,U+1236B,CUNEIFORM SIGN ZU5,Cuneiform
𒍬,U+1236C,CUNEIFORM SIGN ZU5 TIMES A,Cuneiform
𒍭,U+1236D,CUNEIFORM SIGN ZUBUR,Cuneiform
𒍮,U+1236E,CUNEIFORM SIGN ZUM,Cuneiform
𒍯,U+1236F,CUNEIFORM SIGN KAP ELAMITE,Cuneiform
𒍰,U+12370,CUNEIFORM SIGN AB TIMES NUN,Cuneiform
𒍱,U+12371,CUNEIFORM SIGN AB2 TIMES A,Cuneiform
𒍲,U+12372,CUNEIFORM SIGN AMAR TIMES KUG,Cuneiform
𒍳,U+12373,CUNEIFORM SIGN DAG KISIM5 TIMES U2 PLUS MASH,Cuneiform
𒍴,U+12374,CUNEIFORM SIGN DAG3,Cuneiform
𒍵,U+12375,CUNEIFORM SIGN DISH PLUS SHU,Cuneiform
𒍶,U+12376,CUNEIFORM SIGN DUB TIMES SHE,Cuneiform
𒍷,U+12377,CUNEIFORM SIGN EZEN TIMES GUD,Cuneiform
𒍸,U+12378,CUNEIFORM SIGN EZEN TIMES SHE,Cuneiform
𒍹,U+12379,CUNEIFORM SIGN GA2 TIMES AN PLUS KAK PLUS A,Cuneiform
𒍺,U+1237A,CUNEIFORM SIGN GA2 TIMES ASH2,Cuneiform
𒍻,U+1237B,CUNEIFORM SIGN GE22,Cuneiform
𒍼,U+1237C,CUNEIFORM SIGN GIG,Cuneiform
𒍽,U+1237D,CUNEIFORM SIGN HUSH,Cuneiform
𒍾,U+1237E,CUNEIFORM SIGN KA TIMES ANSHE,Cuneiform
𒍿,U+1237F,CUNEIFORM SIGN KA TIMES ASH3,Cuneiform
𒎀,U+12380,CUNEIFORM SIGN KA TIMES GISH,Cuneiform
𒎁,U+12381,CUNEIFORM SIGN KA TIMES GUD,Cuneiform
𒎂,U+12382,CUNEIFORM SIGN KA TIMES HI TIMES ASH2,Cuneiform
𒎃,U+12383,CUNEIFORM SIGN KA TIMES LUM,Cuneiform
𒎄,U+12384,CUNEIFORM SIGN KA TIMES PA,Cuneiform
𒎅,U+12385,CUNEIFORM SIGN KA TIMES SHUL,Cuneiform
𒎆,U+12386,CUNEIFORM SIGN KA TIMES TU,Cuneiform
𒎇,U+12387,CUNEIFORM SIGN KA TIMES UR2,Cuneiform
𒎈,U+12388,CUNEIFORM SIGN LAGAB TIMES GI,Cuneiform
𒎉,U+12389,CUNEIFORM SIGN LU2 SHESHIG TIMES BAD,Cuneiform
𒎊,U+1238A,CUNEIFORM SIGN LU2 TIMES ESH2 PLUS LAL,Cuneiform
𒎋,U+1238B,CUNEIFORM SIGN LU2 TIMES SHU,Cuneiform
𒎌,U+1238C,CUNEIFORM SIGN MESH,Cuneiform
𒎍,U+1238D,CUNEIFORM SIGN MUSH3 TIMES ZA,Cuneiform
𒎎,U+1238E,CUNEIFORM SIGN NA4,Cuneiform
𒎏,U+1238F,CUNEIFORM SIGN NIN,Cuneiform
𒎐,U+12390,CUNEIFORM SIGN NIN9,Cuneiform
𒎑,U+12391,CUNEIFORM SIGN NINDA2 TIMES BAL,Cuneiform
𒎒,U+12392,CUNEIFORM SIGN NINDA2 TIMES GI,Cuneiform
𒎓,U+12393,CUNEIFORM SIGN NU11 ROTATED NINETY DEGREES,Cuneiform
𒎔,U+12394,CUNEIFORM SIGN PESH2 ASTERISK,Cuneiform
𒎕,U+12395,CUNEIFORM SIGN PIR2,Cuneiform
𒎖,U+12396,CUNEIFORM SIGN SAG TIMES IGI GUNU,Cuneiform
𒎗,U+12397,CUNEIFORM SIGN TI2,Cuneiform
𒎘,U+12398,CUNEIFORM SIGN UM TIMES ME,Cuneiform
𒎙,U+12399,CUNEIFORM SIGN U U,Cuneiform
𒐀,U+12400,CUNEIFORM NUMERIC SIGN TWO ASH,Cuneiform Numbers and Punctuation
𒐁,U+12401,CUNEIFORM NUMERIC SIGN THREE ASH,Cuneiform Numbers and Punctuation
𒐂,U+12402,CUNEIFORM NUMERIC SIGN FOUR ASH,Cuneiform Numbers and Punctuation
𒐃,U+12403,CUNEIFORM NUMERIC SIGN FIVE ASH,Cuneiform Numbers and Punctuation
𒐄,U+12404,CUNEIFORM NUMERIC SIGN SIX ASH,Cuneiform Numbers and Punctuation
𒐅,U+12405,CUNEIFORM NUMERIC SIGN SEVEN ASH,Cuneiform Numbers and Punctuation
𒐆,U+12406,CUNEIFORM NUMERIC SIGN EIGHT ASH,Cuneiform Numbers and Punctuation
𒐇,U+12407,CUNEIFORM NUMERIC SIGN NINE ASH,Cuneiform Numbers and Punctuation
𒐈,U+12408,CUNEIFORM NUMERIC SIGN THREE DISH,Cuneiform Numbers and Punctuation
𒐉,U+12409,CUNEIFORM NUMERIC SIGN FOUR DISH,Cuneiform Numbers and Punctuation
𒐊,U+1240A,CUNEIFORM NUMERIC SIGN FIVE DISH,Cuneiform Numbers and Punctuation
𒐋,U+1240B,CUNEIFORM NUMERIC SIGN SIX DISH,Cuneiform Numbers and Punctuation
𒐌,U+1240C,CUNEIFORM NUMERIC SIGN SEVEN DISH,Cuneiform Numbers and Punctuation
𒐍,U+1240D,CUNEIFORM NUMERIC SIGN EIGHT DISH,Cuneiform Numbers and Punctuation
𒐎,U+1240E,CUNEIFORM NUMERIC SIGN NINE DISH,Cuneiform Numbers and Punctuation
𒐏,U+1240F,CUNEIFORM NUMERIC SIGN FOUR U,Cuneiform Numbers and Punctuation
𒐐,U+12410,CUNEIFORM NUMERIC SIGN FIVE U,Cuneiform Numbers and Punctuation
𒐑,U+12411,CUNEIFORM NUMERIC SIGN SIX U,Cuneiform Numbers and Punctuation
𒐒,U+12412,CUNEIFORM NUMERIC SIGN SEVEN U,Cuneiform Numbers and Punctuation
𒐓,U+12413,CUNEIFORM NUMERIC SIGN EIGHT U,Cuneiform Numbers and Punctuation
𒐔,U+12414,CUNEIFORM NUMERIC SIGN NINE U,Cuneiform Numbers and Punctuation
𒐕,U+12415,CUNEIFORM NUMERIC SIGN ONE GESH2,Cuneiform Numbers and Punctuation
𒐖,U+12416,CUNEIFORM NUMERIC SIGN TWO GESH2,Cuneiform Numbers and Punctuation
𒐗,U+12417,CUNEIFORM NUMERIC SIGN THREE GESH2,Cuneiform Numbers and Punctuation
𒐘,U+12418,CUNEIFORM NUMERIC SIGN FOUR GESH2,Cuneiform Numbers and Punctuation
𒐙,U+12419,CUNEIFORM NUMERIC SIGN FIVE GESH2,Cuneiform Numbers and Punctuation
𒐚,U+1241A,CUNEIFORM NUMERIC SIGN SIX GESH2,Cuneiform Numbers and Punctuation
𒐛,U+1241B,CUNEIFORM NUMERIC SIGN SEVEN GESH2,Cuneiform Numbers and Punctuation
𒐜,U+1241C,CUNEIFORM NUMERIC SIGN EIGHT GESH2,Cuneiform Numbers and Punctuation
𒐝,U+1241D,CUNEIFORM NUMERIC SIGN NINE GESH2,Cuneiform Numbers and Punctuation
𒐞,U+1241E,CUNEIFORM NUMERIC SIGN ONE GESHU,Cuneiform Numbers and Punctuation
𒐟,U+1241F,CUNEIFORM NUMERIC SIGN TWO GESHU,Cuneiform Numbers and Punctuation
𒐠,U+12420,CUNEIFORM NUMERIC SIGN THREE GESHU,Cuneiform Numbers and Punctuation
𒐡,U+12421,CUNEIFORM NUMERIC SIGN FOUR GESHU,Cuneiform Numbers and Punctuation
𒐢,U+12422,CUNEIFORM NUMERIC SIGN FIVE GESHU,Cuneiform Numbers and Punctuation
𒐣,U+12423,CUNEIFORM NUMERIC SIGN TWO SHAR2,Cuneiform Numbers and Punctuation
𒐤,U+12424,CUNEIFORM NUMERIC SIGN THREE SHAR2,Cuneiform Numbers and Punctuation
𒐥,U+12425,CUNEIFORM NUMERIC SIGN THREE SHAR2 VARIANT FORM,Cuneiform Numbers and Punctuation
𒐦,U+12426,CUNEIFORM NUMERIC SIGN FOUR SHAR2,Cuneiform Numbers and Punctuation
𒐧,U+12427,CUNEIFORM NUMERIC SIGN FIVE SHAR2,Cuneiform Numbers and Punctuation
𒐨,U+12428,CUNEIFORM NUMERIC SIGN SIX SHAR2,Cuneiform Numbers and Punctuation
𒐩,U+12429,CUNEIFORM NUMERIC SIGN SEVEN SHAR2,Cuneiform Numbers and Punctuation
𒐪,U+1242A,CUNEIFORM NUMERIC SIGN EIGHT SHAR2,Cuneiform Numbers and Punctuation
𒐫,U+1242B,CUNEIFORM NUMERIC SIGN NINE SHAR2,Cuneiform Numbers and Punctuation
𒐬,U+1242C,CUNEIFORM NUMERIC SIGN ONE SHARU,Cuneiform Numbers and Punctuation
𒐭,U+1242D,CUNEIFORM NUMERIC SIGN TWO SHARU,Cuneiform Numbers and Punctuation
𒐮,U+1242E,CUNEIFORM NUMERIC SIGN THREE SHARU,Cuneiform Numbers and Punctuation
𒐯,U+1242F,CUNEIFORM NUMERIC SIGN THREE SHARU VARIANT FORM,Cuneiform Numbers and Punctuation
𒐰,U+12430,CUNEIFORM NUMERIC SIGN FOUR SHARU,Cuneiform Numbers and Punctuation
𒐱,U+12431,CUNEIFORM NUMERIC SIGN FIVE SHARU,Cuneiform Numbers and Punctuation
𒐲,U+12432,CUNEIFORM NUMERIC SIGN SHAR2 TIMES GAL PLUS DISH,Cuneiform Numbers and Punctuation
𒐳,U+12433,CUNEIFORM NUMERIC SIGN SHAR2 TIMES GAL PLUS MIN,Cuneiform Numbers and Punctuation
𒐴,U+12434,CUNEIFORM NUMERIC SIGN ONE BURU,Cuneiform Numbers and Punctuation
𒐵,U+12435,CUNEIFORM NUMERIC SIGN TWO BURU,Cuneiform Numbers and Punctuation
𒐶,U+12436,CUNEIFORM NUMERIC SIGN THREE BURU,Cuneiform Numbers and Punctuation
𒐷,U+12437,CUNEIFORM NUMERIC SIGN THREE BURU VARIANT FORM,Cuneiform Numbers and Punctuation
𒐸,U+12438,CUNEIFORM NUMERIC SIGN FOUR BURU,Cuneiform Numbers and Punctuation
𒐹,U+12439,CUNEIFORM NUMERIC SIGN FIVE BURU,Cuneiform Numbers and Punctuation
𒐺,U+1243A,CUNEIFORM NUMERIC SIGN THREE VARIANT FORM ESH16,Cuneiform Numbers and Punctuation
𒐻,U+1243B,CUNEIFORM NUMERIC SIGN THREE VARIANT FORM ESH21,Cuneiform Numbers and Punctuation
𒐼,U+1243C,CUNEIFORM NUMERIC SIGN FOUR VARIANT FORM LIMMU,Cuneiform Numbers and Punctuation
𒐽,U+1243D,CUNEIFORM NUMERIC SIGN FOUR VARIANT FORM LIMMU4,Cuneiform Numbers and Punctuation
𒐾,U+1243E,CUNEIFORM NUMERIC SIGN FOUR VARIANT FORM LIMMU A,Cuneiform Numbers and Punctuation
𒐿,U+1243F,CUNEIFORM NUMERIC SIGN FOUR VARIANT FORM LIMMU B,Cuneiform Numbers and Punctuation
𒑀,U+12440,CUNEIFORM NUMERIC SIGN SIX VARIANT FORM ASH9,Cuneiform Numbers and Punctuation
𒑁,U+12441,CUNEIFORM NUMERIC SIGN SEVEN VARIANT FORM IMIN3,Cuneiform Numbers and Punctuation
𒑂,U+12442,CUNEIFORM NUMERIC SIGN SEVEN VARIANT FORM IMIN A,Cuneiform Numbers and Punctuation
𒑃,U+12443,CUNEIFORM NUMERIC SIGN SEVEN VARIANT FORM IMIN B,Cuneiform Numbers and Punctuation
𒑄,U+12444,CUNEIFORM NUMERIC SIGN EIGHT VARIANT FORM USSU,Cuneiform Numbers and Punctuation
𒑅,U+12445,CUNEIFORM NUMERIC SIGN EIGHT VARIANT FORM USSU3,Cuneiform Numbers and Punctuation
𒑆,U+12446,CUNEIFORM NUMERIC SIGN NINE VARIANT FORM ILIMMU,Cuneiform Numbers and Punctuation
𒑇,U+12447,CUNEIFORM NUMERIC SIGN NINE VARIANT FORM ILIMMU3,Cuneiform Numbers and Punctuation
𒑈,U+12448,CUNEIFORM NUMERIC SIGN NINE VARIANT FORM ILIMMU4,Cuneiform Numbers and Punctuation
𒑉,U+12449,CUNEIFORM NUMERIC SIGN NINE VARIANT FORM ILIMMU A,Cuneiform Numbers and Punctuation
𒑊,U+1244A,CUNEIFORM NUMERIC SIGN TWO ASH TENU,Cuneiform Numbers and Punctuation
𒑋,U+1244B,CUNEIFORM NUMERIC SIGN THREE ASH TENU,Cuneiform Numbers and Punctuation
𒑌,U+1244C,CUNEIFORM NUMERIC SIGN FOUR ASH TENU,Cuneiform Numbers and Punctuation
𒑍,U+1244D,CUNEIFORM NUMERIC SIGN FIVE ASH TENU,Cuneiform Numbers and Punctuation
𒑎,U+1244E,CUNEIFORM NUMERIC SIGN SIX ASH TENU,Cuneiform Numbers and Punctuation
𒑏,U+1244F,CUNEIFORM NUMERIC SIGN ONE BAN2,Cuneiform Numbers and Punctuation
𒑐,U+12450,CUNEIFORM NUMERIC SIGN TWO BAN2,Cuneiform Numbers and Punctuation
𒑑,U+12451,CUNEIFORM NUMERIC SIGN THREE BAN2,Cuneiform Numbers and Punctuation
𒑒,U+12452,CUNEIFORM NUMERIC SIGN FOUR BAN2,Cuneiform Numbers and Punctuation
𒑓,U+12453,CUNEIFORM NUMERIC SIGN FOUR BAN2 VARIANT FORM,Cuneiform Numbers and Punctuation
𒑔,U+12454,CUNEIFORM NUMERIC SIGN FIVE BAN2,Cuneiform Numbers and Punctuation
𒑕,U+12455,CUNEIFORM NUMERIC SIGN FIVE BAN2 VARIANT FORM,Cuneiform Numbers and Punctuation
𒑖,U+12456,CUNEIFORM NUMERIC SIGN NIGIDAMIN,Cuneiform Numbers and Punctuation
𒑗,U+12457,CUNEIFORM NUMERIC SIGN NIGIDAESH,Cuneiform Numbers and Punctuation
