char,codepoint,name,block
𒃄,U+120C4,CUNEIFORM SIGN GA2 TIMES DI,Cuneiform
𒃅,U+120C5,CUNEIFORM SIGN GA2 TIMES DIM TIMES SHE,Cuneiform
𒃆,U+120C6,CUNEIFORM SIGN GA2 TIMES DUB,Cuneiform
𒃇,U+120C7,CUNEIFORM SIGN GA2 TIMES EL,Cuneiform
𒃈,U+120C8,CUNEIFORM SIGN GA2 TIMES EL PLUS LA,Cuneiform
𒃉,U+120C9,CUNEIFORM SIGN GA2 TIMES EN,Cuneiform
𒃊,U+120CA,CUNEIFORM SIGN GA2 TIMES EN TIMES GAN2 TENU,Cuneiform
𒃋,U+120CB,CUNEIFORM SIGN GA2 TIMES GAN2 TENU,Cuneiform
𒃌,U+120CC,CUNEIFORM SIGN GA2 TIMES GAR,Cuneiform
𒃍,U+120CD,CUNEIFORM SIGN GA2 TIMES GI,Cuneiform
𒃎,U+120CE,CUNEIFORM SIGN GA2 TIMES GI4,Cuneiform
𒃏,U+120CF,CUNEIFORM SIGN GA2 TIMES GI4 PLUS A,Cuneiform
𒃐,U+120D0,CUNEIFORM SIGN GA2 TIMES GIR2 PLUS SU,Cuneiform
𒃑,U+120D1,CUNEIFORM SIGN GA2 TIMES HA PLUS LU PLUS ESH2,Cuneiform
𒃒,U+120D2,CUNEIFORM SIGN GA2 TIMES HAL,Cuneiform
𒃓,U+120D3,CUNEIFORM SIGN GA2 TIMES HAL PLUS LA,Cuneiform
𒃔,U+120D4,CUNEIFORM SIGN GA2 TIMES HI PLUS LI,Cuneiform
𒃕,U+120D5,CUNEIFORM SIGN GA2 TIMES HUB2,Cuneiform
𒃖,U+120D6,CUNEIFORM SIGN GA2 TIMES IGI GUNU,Cuneiform
𒃗,U+120D7,CUNEIFORM SIGN GA2 TIMES ISH PLUS HU PLUS ASH,Cuneiform
𒃘,U+120D8,CUNEIFORM SIGN GA2 TIMES KAK,Cuneiform
𒃙,U+120D9,CUNEIFORM SIGN GA2 TIMES KASKAL,Cuneiform
𒃚,U+120DA,CUNEIFORM SIGN GA2 TIMES KID,Cuneiform
𒃛,U+120DB,CUNEIFORM SIGN GA2 TIMES KID PLUS LAL,Cuneiform
𒃜,U+120DC,CUNEIFORM SIGN GA2 TIMES KU3 PLUS AN,Cuneiform
𒃝,U+120DD,CUNEIFORM SIGN GA2 TIMES LA,Cuneiform
𒃞,U+120DE,CUNEIFORM SIGN GA2 TIMES ME PLUS EN,Cuneiform
𒃟,U+120DF,CUNEIFORM SIGN GA2 TIMES MI,Cuneiform
𒃠,U+120E0,CUNEIFORM SIGN GA2 TIMES NUN,Cuneiform
𒃡,U+120E1,CUNEIFORM SIGN GA2 TIMES NUN OVER NUN,Cuneiform
𒃢,U+120E2,CUNEIFORM SIGN GA2 TIMES PA,Cuneiform
𒃣,U+120E3,CUNEIFORM SIGN GA2 TIMES SAL,Cuneiform
𒃤,U+120E4,CUNEIFORM SIGN GA2 TIMES SAR,Cuneiform
𒃥,U+120E5,CUNEIFORM SIGN GA2 TIMES SHE,Cuneiform
𒃦,U+120E6,CUNEIFORM SIGN GA2 TIMES SHE PLUS TUR,Cuneiform
𒃧,U+120E7,CUNEIFORM SIGN GA2 TIMES SHID,Cuneiform
𒃨,U+120E8,CUNEIFORM SIGN GA2 TIMES SUM,Cuneiform
𒃩,U+120E9,CUNEIFORM SIGN GA2 TIMES TAK4,Cuneiform
𒃪,U+120EA,CUNEIFORM SIGN GA2 TIMES U,Cuneiform
𒃫,U+120EB,CUNEIFORM SIGN GA2 TIMES UD,Cuneiform
𒃬,U+120EC,CUNEIFORM SIGN GA2 TIMES UD PLUS DU,Cuneiform
𒃭,U+120ED,CUNEIFORM SIGN GA2 OVER GA2,Cuneiform
𒃮,U+120EE,CUNEIFORM SIGN GABA,Cuneiform
𒃯,U+120EF,CUNEIFORM SIGN GABA CROSSING GABA,Cuneiform
𒃰,U+120F0,CUNEIFORM SIGN GAD,Cuneiform
𒃱,U+120F1,CUNEIFORM SIGN GAD OVER GAD GAR OVER GAR,Cuneiform
𒃲,U+120F2,CUNEIFORM SIGN GAL,Cuneiform
𒃳,U+120F3,CUNEIFORM SIGN GAL GAD OVER GAD GAR OVER GAR,Cuneiform
𒃴,U+120F4,CUNEIFORM SIGN GALAM,Cuneiform
𒃵,U+120F5,CUNEIFORM SIGN GAM,Cuneiform
𒃶,U+120F6,CUNEIFORM SIGN GAN,Cuneiform
𒃷,U+120F7,CUNEIFORM SIGN GAN2,Cuneiform
𒃸,U+120F8,CUNEIFORM SIGN GAN2 TENU,Cuneiform
𒃹,U+120F9,CUNEIFORM SIGN GAN2 OVER GAN2,Cuneiform
𒃺,U+120FA,CUNEIFORM SIGN GAN2 CROSSING GAN2,Cuneiform
𒃻,U+120FB,CUNEIFORM SIGN GAR,Cuneiform
𒃼,U+120FC,CUNEIFORM SIGN GAR3,Cuneiform
𒃽,U+120FD,CUNEIFORM SIGN GASHAN,Cuneiform
𒃾,U+120FE,CUNEIFORM SIGN GESHTIN,Cuneiform
𒃿,U+120FF,CUNEIFORM SIGN GESHTIN TIMES KUR,Cuneiform
𒄀,U+12100,CUNEIFORM SIGN GI,Cuneiform
𒄁,U+12101,CUNEIFORM SIGN GI TIMES E,Cuneiform
𒄂,U+12102,CUNEIFORM SIGN GI TIMES U,Cuneiform
𒄃,U+12103,CUNEIFORM SIGN GI CROSSING GI,Cuneiform
𒄄,U+12104,CUNEIFORM SIGN GI4,Cuneiform
𒄅,U+12105,CUNEIFORM SIGN GI4 OVER GI4,Cuneiform
𒄆,U+12106,CUNEIFORM SIGN GI4 CROSSING GI4,Cuneiform
𒄇,U+12107,CUNEIFORM SIGN GIDIM,Cuneiform
𒄈,U+12108,CUNEIFORM SIGN GIR2,Cuneiform
𒄉,U+12109,CUNEIFORM SIGN GIR2 GUNU,Cuneiform
𒄊,U+1210A,CUNEIFORM SIGN GIR3,Cuneiform
𒄋,U+1210B,CUNEIFORM SIGN GIR3 TIMES A PLUS IGI,Cuneiform
𒄌,U+1210C,CUNEIFORM SIGN GIR3 TIMES GAN2 TENU,Cuneiform
𒄍,U+1210D,CUNEIFORM SIGN GIR3 TIMES IGI,Cuneiform
𒄎,U+1210E,CUNEIFORM SIGN GIR3 TIMES LU PLUS IGI,Cuneiform
𒄏,U+1210F,CUNEIFORM SIGN GIR3 TIMES PA,Cuneiform
𒄐,U+12110,CUNEIFORM SIGN GISAL,Cuneiform
𒄑,U+12111,CUNEIFORM SIGN GISH,Cuneiform
𒄒,U+12112,CUNEIFORM SIGN GISH CROSSING GISH,Cuneiform
𒄓,U+12113,CUNEIFORM SIGN GISH TIMES BAD,Cuneiform
𒄔,U+12114,CUNEIFORM SIGN GISH TIMES TAK4,Cuneiform
𒄕,U+12115,CUNEIFORM SIGN GISH TENU,Cuneiform
𒄖,U+12116,CUNEIFORM SIGN GU,Cuneiform
𒄗,U+12117,CUNEIFORM SIGN GU CROSSING GU,Cuneiform
𒄘,U+12118,CUNEIFORM SIGN GU2,Cuneiform
𒄙,U+12119,CUNEIFORM SIGN GU2 TIMES KAK,Cuneiform
